"filename", "language", "JSON", "Ini", "JavaScript", "PHP", "CSS", "HTML", "Log", "Markdown", "comment", "blank", "total"
"c:\Webapp\ServiceDeliveryNetwork\js_2\patient_register_form2.js", "JavaScript", 0, 0, 465, 0, 0, 0, 0, 0, 164, 142, 771
"c:\Webapp\ServiceDeliveryNetwork\js_2\referral_form.js", "JavaScript", 0, 0, 100, 0, 0, 0, 0, 0, 34, 31, 165
"c:\Webapp\ServiceDeliveryNetwork\js_2\resend_otp.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 13, 11, 65
"c:\Webapp\ServiceDeliveryNetwork\js_2\sdn_autho.js", "JavaScript", 0, 0, 117, 0, 0, 0, 0, 0, 12, 26, 155
"c:\Webapp\ServiceDeliveryNetwork\js_2\sdn_reg.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 0, 29, 29, 143
"c:\Webapp\ServiceDeliveryNetwork\js_2\search_name_2.js", "JavaScript", 0, 0, 295, 0, 0, 0, 0, 0, 39, 88, 422
"c:\Webapp\ServiceDeliveryNetwork\js_2\verify_otp.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 0, 16, 23, 127
"c:\Webapp\ServiceDeliveryNetwork\package-lock.json", "JSON", 1609, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1610
"c:\Webapp\ServiceDeliveryNetwork\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Webapp\ServiceDeliveryNetwork\php\approved_to_arrival.php", "PHP", 0, 0, 0, 38, 0, 0, 0, 0, 3, 12, 53
"c:\Webapp\ServiceDeliveryNetwork\php\approved_to_cancellation.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 2, 7, 29
"c:\Webapp\ServiceDeliveryNetwork\php\arrived_to_checked.php", "PHP", 0, 0, 0, 38, 0, 0, 0, 0, 3, 10, 51
"c:\Webapp\ServiceDeliveryNetwork\php\csrf\session.php", "PHP", 0, 0, 0, 32, 0, 0, 0, 0, 18, 14, 64
"c:\Webapp\ServiceDeliveryNetwork\php\patient_form.php", "PHP", 0, 0, 0, 91, 0, 0, 0, 0, 0, 25, 116
"c:\Webapp\ServiceDeliveryNetwork\php\pending_deferred.php", "PHP", 0, 0, 0, 15, 0, 0, 0, 0, 2, 4, 21
"c:\Webapp\ServiceDeliveryNetwork\php_2\add_classification.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"c:\Webapp\ServiceDeliveryNetwork\php_2\add_patient_form.php", "PHP", 0, 0, 0, 161, 0, 0, 0, 0, 25, 32, 218
"c:\Webapp\ServiceDeliveryNetwork\php_2\add_referral_form.php", "PHP", 0, 0, 0, 202, 0, 0, 0, 0, 15, 49, 266
"c:\Webapp\ServiceDeliveryNetwork\php_2\admin.php", "PHP", 0, 0, 0, 396, 0, 0, 0, 0, 19, 54, 469
"c:\Webapp\ServiceDeliveryNetwork\php_2\approve_pending_interdept.php", "PHP", 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Webapp\ServiceDeliveryNetwork\php_2\approved_pending.php", "PHP", 0, 0, 0, 216, 0, 0, 0, 0, 14, 42, 272
"c:\Webapp\ServiceDeliveryNetwork\php_2\bucas_display.php", "PHP", 0, 0, 0, 161, 0, 0, 0, 0, 0, 4, 165
"c:\Webapp\ServiceDeliveryNetwork\php_2\bucas_history.php", "PHP", 0, 0, 0, 83, 0, 0, 0, 0, 1, 9, 93
"c:\Webapp\ServiceDeliveryNetwork\php_2\bucas_queue.php", "PHP", 0, 0, 0, 99, 0, 0, 0, 0, 1, 11, 111
"c:\Webapp\ServiceDeliveryNetwork\php_2\bucas_referral.php", "PHP", 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"c:\Webapp\ServiceDeliveryNetwork\php_2\checkPatientRegUniq.php", "PHP", 0, 0, 0, 29, 0, 0, 0, 0, 4, 3, 36
"c:\Webapp\ServiceDeliveryNetwork\php_2\check_interdept_refer.php", "PHP", 0, 0, 0, 35, 0, 0, 0, 0, 2, 10, 47
"c:\Webapp\ServiceDeliveryNetwork\php_2\closed_otp.php", "PHP", 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Webapp\ServiceDeliveryNetwork\php_2\count_pending.php", "PHP", 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Webapp\ServiceDeliveryNetwork\php_2\dashboard_incoming.php", "PHP", 0, 0, 0, 415, 0, 0, 0, 0, 46, 97, 558
"c:\Webapp\ServiceDeliveryNetwork\php_2\dashboard_outgoing.php", "PHP", 0, 0, 0, 388, 0, 0, 0, 0, 29, 83, 500
