"filename", "language", "PHP", "JavaScript", "HTML", "JSON", "CSS", "Ini", "Log", "Markdown", "comment", "blank", "total"
"c:\Webapp\ServiceDeliveryNetwork\php_2\populate_pat_class.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 3, 3, 31
"c:\Webapp\ServiceDeliveryNetwork\php_2\populate_pat_form.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Webapp\ServiceDeliveryNetwork\php_2\populate_ref_details.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Webapp\ServiceDeliveryNetwork\php_2\process_pending.php", "PHP", 123, 0, 0, 0, 0, 0, 0, 0, 14, 40, 177
"c:\Webapp\ServiceDeliveryNetwork\php_2\query.log", "Log", 0, 0, 0, 0, 0, 0, 84, 0, 0, 1, 85
"c:\Webapp\ServiceDeliveryNetwork\php_2\raw_data.log", "Log", 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Webapp\ServiceDeliveryNetwork\php_2\referral_form.php", "PHP", 253, 0, 0, 0, 0, 0, 0, 0, 7, 49, 309
"c:\Webapp\ServiceDeliveryNetwork\php_2\referral_response.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 0, 1, 18, 94
"c:\Webapp\ServiceDeliveryNetwork\php_2\resend_otp.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 0, 4, 11, 53
"c:\Webapp\ServiceDeliveryNetwork\php_2\save_process_time.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 18, 17, 71
"c:\Webapp\ServiceDeliveryNetwork\php_2\sdn_autho.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 0, 7, 20, 82
"c:\Webapp\ServiceDeliveryNetwork\php_2\sdn_reg.php", "PHP", 100, 0, 0, 0, 0, 0, 0, 0, 11, 25, 136
"c:\Webapp\ServiceDeliveryNetwork\php_2\search_name_2.php", "PHP", 80, 0, 0, 0, 0, 0, 0, 0, 9, 20, 109
"c:\Webapp\ServiceDeliveryNetwork\php_2\session_timer.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Webapp\ServiceDeliveryNetwork\php_2\update_referral_status.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
"c:\Webapp\ServiceDeliveryNetwork\php_2\verify_otp.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 3, 3, 29
"c:\Webapp\ServiceDeliveryNetwork\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Webapp\ServiceDeliveryNetwork\tailwind.config.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 7, 0, 39
"c:\Webapp\ServiceDeliveryNetwork\temp.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Webapp\ServiceDeliveryNetwork\temp\alert.html", "HTML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Webapp\ServiceDeliveryNetwork\temp\alert.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 4, 8, 35
"Total", "-", 20594, 5048, 985, 1786, 7430, 29, 103, 372, 8566, 7975, 52888
