Date : 2024-06-06 09:20:45
Directory : c:\Webapp\ServiceDeliveryNetwork
Total : 272 files,  35661 codes, 8396 comments, 7792 blanks, all 51849 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\src\POP3.php                        | PHP        |        181 |        234 |         53 |        468 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\PHPMailer-6.8.1\src\SMTP.php                        | PHP        |        721 |        604 |        142 |      1,467 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\README.md                                           | Markdown   |        167 |          0 |         64 |        231 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\SECURITY.md                                         | Markdown   |         19 |          0 |         19 |         38 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\composer.json                                       | JSON       |         78 |          0 |          1 |         79 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\get_oauth_token.php                                 | PHP        |        117 |         48 |         18 |        183 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-af.php                      | PHP        |         20 |          4 |          3 |         27 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-ar.php                      | PHP        |         20 |          5 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-az.php                      | PHP        |         19 |          6 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-ba.php                      | PHP        |         20 |          5 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-be.php                      | PHP        |         19 |          6 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-bg.php                      | PHP        |         20 |          5 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-ca.php                      | PHP        |         19 |          6 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-cs.php                      | PHP        |         22 |          4 |          3 |         29 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-da.php                      | PHP        |         26 |          7 |          3 |         36 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-de.php                      | PHP        |         22 |          4 |          3 |         29 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-el.php                      | PHP        |         27 |          4 |          3 |         34 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-eo.php                      | PHP        |         20 |          4 |          3 |         27 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-es.php                      | PHP        |         23 |          6 |          3 |         32 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-et.php                      | PHP        |         20 |          6 |          3 |         29 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-fa.php                      | PHP        |         20 |          6 |          3 |         29 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-fi.php                      | PHP        |         13 |         12 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-fo.php                      | PHP        |         13 |         12 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-fr.php                      | PHP        |         27 |          8 |          3 |         38 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-gl.php                      | PHP        |         19 |          6 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-he.php                      | PHP        |         19 |          6 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-hi.php                      | PHP        |         27 |          6 |          3 |         36 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-hr.php                      | PHP        |         20 |          5 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-hu.php                      | PHP        |         20 |          5 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-hy.php                      | PHP        |         20 |          5 |          3 |         28 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-id.php                      | PHP        |         22 |          7 |          3 |         32 |
| c:\Webapp\ServiceDeliveryNetwork\Dummy\PHPMailer-6.8.1\language\phpmailer.lang-it.php                      | PHP        |         20 |          6 |          3 |         29 |
